Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,15,asymmetric,symmetric,0.21095022146012093
75% Corpus,16,0.01,0.01,0.21361358022503105
75% Corpus,16,0.01,0.31,0.21187568828556214
75% Corpus,16,0.01,0.61,0.21737416324815967
75% Corpus,16,0.01,0.9099999999999999,0.22631798878746584
75% Corpus,16,0.01,symmetric,0.21391411719195452
75% Corpus,16,0.31,0.01,0.21352149356424283
75% Corpus,16,0.31,0.31,0.21174963522136206
75% Corpus,16,0.31,0.61,0.22306163744889884
75% Corpus,16,0.31,0.9099999999999999,0.22156456678795874
75% Corpus,16,0.31,symmetric,0.21596119258517543
75% Corpus,16,0.61,0.01,0.2141547528543239
75% Corpus,16,0.61,0.31,0.21107409024802848
75% Corpus,16,0.61,0.61,0.37217798185970696
75% Corpus,16,0.61,0.9099999999999999,0.19821588075843616
75% Corpus,16,0.61,symmetric,0.22241409713268878
75% Corpus,16,0.9099999999999999,0.01,0.21439058182513343
75% Corpus,16,0.9099999999999999,0.31,0.20720508171132604
75% Corpus,16,0.9099999999999999,0.61,0.5015787577744066
75% Corpus,16,0.9099999999999999,0.9099999999999999,0.2361115243819194
75% Corpus,16,0.9099999999999999,symmetric,0.21871270815275135
75% Corpus,16,symmetric,0.01,0.21369060708107443
75% Corpus,16,symmetric,0.31,0.21195271514160552
75% Corpus,16,symmetric,0.61,0.2175525552225006
75% Corpus,16,symmetric,0.9099999999999999,0.2269591670028025
75% Corpus,16,symmetric,symmetric,0.21432502861039193
75% Corpus,16,asymmetric,0.01,0.21361358022503105
75% Corpus,16,asymmetric,0.31,0.2117165732862012
75% Corpus,16,asymmetric,0.61,0.22217241730108062
75% Corpus,16,asymmetric,0.9099999999999999,0.22462415647558842
75% Corpus,16,asymmetric,symmetric,0.21424800175434855
75% Corpus,17,0.01,0.01,0.21496990045086284
75% Corpus,17,0.01,0.31,0.2114165977499842
75% Corpus,17,0.01,0.61,0.23066174484754556
75% Corpus,17,0.01,0.9099999999999999,0.2220514567155191
75% Corpus,17,0.01,symmetric,0.21952794027828051
75% Corpus,17,0.31,0.01,0.21523402595145738
75% Corpus,17,0.31,0.31,0.21125318792311487
75% Corpus,17,0.31,0.61,0.2299265970894664
75% Corpus,17,0.31,0.9099999999999999,0.22471024157030503
75% Corpus,17,0.31,symmetric,0.22282017469886883
75% Corpus,17,0.61,0.01,0.21605914839204343
75% Corpus,17,0.61,0.31,0.21607096916061766
75% Corpus,17,0.61,0.61,0.33257952374672495
75% Corpus,17,0.61,0.9099999999999999,0.29462735796297335
75% Corpus,17,0.61,symmetric,0.2266670514159912
75% Corpus,17,0.9099999999999999,0.01,0.21728713399207392
75% Corpus,17,0.9099999999999999,0.31,0.21124434768761596
75% Corpus,17,0.9099999999999999,0.61,0.4891212123022245
75% Corpus,17,0.9099999999999999,0.9099999999999999,0.23597284300804244
75% Corpus,17,0.9099999999999999,symmetric,0.23256106099234844
75% Corpus,17,symmetric,0.01,0.2147850693486843
75% Corpus,17,symmetric,0.31,0.21137883246518588
75% Corpus,17,symmetric,0.61,0.2306617448475456
75% Corpus,17,symmetric,0.9099999999999999,0.2220514567155191
75% Corpus,17,symmetric,symmetric,0.21952794027828051
75% Corpus,17,asymmetric,0.01,0.2147145820351929
75% Corpus,17,asymmetric,0.31,0.2114165977499842
75% Corpus,17,asymmetric,0.61,0.22914363167494545
75% Corpus,17,asymmetric,0.9099999999999999,0.2186915007107147
75% Corpus,17,asymmetric,symmetric,0.22039017679180148
75% Corpus,18,0.01,0.01,0.23361913885345376
75% Corpus,18,0.01,0.31,0.2106407678322029
75% Corpus,18,0.01,0.61,0.22657019807881776
75% Corpus,18,0.01,0.9099999999999999,0.2251843587683505
75% Corpus,18,0.01,symmetric,0.2105665524650186
75% Corpus,18,0.31,0.01,0.21536541660982772
75% Corpus,18,0.31,0.31,0.211343620717536
75% Corpus,18,0.31,0.61,0.228823530034141
75% Corpus,18,0.31,0.9099999999999999,0.2269625400655616
75% Corpus,18,0.31,symmetric,0.21133481241450436
75% Corpus,18,0.61,0.01,0.21298797516447177
75% Corpus,18,0.61,0.31,0.21196939574334867
75% Corpus,18,0.61,0.61,0.33684276080348874
75% Corpus,18,0.61,0.9099999999999999,0.37225872449909414
75% Corpus,18,0.61,symmetric,0.21290839344019025
75% Corpus,18,0.9099999999999999,0.01,0.21440785765295503
75% Corpus,18,0.9099999999999999,0.31,0.21763927857231366
75% Corpus,18,0.9099999999999999,0.61,0.40089916696254807
75% Corpus,18,0.9099999999999999,0.9099999999999999,0.49082888680607795
75% Corpus,18,0.9099999999999999,symmetric,0.21819716545383294
75% Corpus,18,symmetric,0.01,0.22894399975771204
75% Corpus,18,symmetric,0.31,0.210577028234277
75% Corpus,18,symmetric,0.61,0.22696109155936345
75% Corpus,18,symmetric,0.9099999999999999,0.22531858694993648
75% Corpus,18,symmetric,symmetric,0.2105056109050397
75% Corpus,18,asymmetric,0.01,0.22740535260540395
75% Corpus,18,asymmetric,0.31,0.2112656855643323
75% Corpus,18,asymmetric,0.61,0.2287118626807087
75% Corpus,18,asymmetric,0.9099999999999999,0.22302385309421174
75% Corpus,18,asymmetric,symmetric,0.2102586714599665
75% Corpus,19,0.01,0.01,0.21370789297764925
75% Corpus,19,0.01,0.31,0.21050834222948497
75% Corpus,19,0.01,0.61,0.2213779639227944
75% Corpus,19,0.01,0.9099999999999999,0.2161921757193434
75% Corpus,19,0.01,symmetric,0.2105455495667679
75% Corpus,19,0.31,0.01,0.21076908240008016
75% Corpus,19,0.31,0.31,0.2110161766776354
75% Corpus,19,0.31,0.61,0.22262252295993146
75% Corpus,19,0.31,0.9099999999999999,0.21794433919902587
75% Corpus,19,0.31,symmetric,0.21054577523612053
75% Corpus,19,0.61,0.01,0.21150165817822913
75% Corpus,19,0.61,0.31,0.2080992775669388
75% Corpus,19,0.61,0.61,0.41316366146893274
75% Corpus,19,0.61,0.9099999999999999,0.2319205475212478
75% Corpus,19,0.61,symmetric,0.21121281076598564
75% Corpus,19,0.9099999999999999,0.01,0.2117297809753867
75% Corpus,19,0.9099999999999999,0.31,0.24890124545944603
75% Corpus,19,0.9099999999999999,0.61,0.5095465629938709
75% Corpus,19,0.9099999999999999,0.9099999999999999,0.3855214567017243
75% Corpus,19,0.9099999999999999,symmetric,0.21183705009453863
75% Corpus,19,symmetric,0.01,0.21231074419633722
75% Corpus,19,symmetric,0.31,0.2104714533651558
75% Corpus,19,symmetric,0.61,0.2215179431089081
